Кто-нибудь	Кто-нибудь,
Почему	Почему 
нельзя	нельзя 
просто	просто 
сделать	сделать 
что-то	что-то 
креативное?	креативное? 
#Аватарка	#Аватарка 
#Креатив	#Креатив 
✨	✨

Каждый	Каждый
раз,	раз,
когда	когда
вижу,	вижу,
как	как
кто-то	кто-то
агрится	агрится
на	на
пустом	пустом
месте,	месте,
думаю:	думаю: 
Неужели	Неужели
жизнь	жизнь
настолько	настолько
скучна?	скучна? 😂
#агриться	#агриться
#жизньслишкомкоротка	#жизньслишкомкоротка

Когда	Когда
кто-то	кто-то
начинает	начинает
нести	нести
чушь,	чушь!
я	я
просто	просто
не	не
могу	могу
не	не
агриться!	агриться! 😤
Зачем	Зачем
тратить	тратить
нервы	нервы
на	на
этих	этих
людей?	людей?
Лучше	Лучше
займусь	займусь
чем-то	чем-то
полезным!	полезным!
#Агрицца	#Агрицца
#Нервишки	#Нервишки
💥	💥

Когда	Когда
кто-то	кто-то
в	в
комментариях	комментариях
начинает	начинает
агриться	агриться
из-за	из-за
всего	всего
на	на
свете	свете 🤬😂,
а	а
ты	ты
просто	просто
хотел	хотел
написать	написать,
что	что
котики	котики –
это	это
просто	просто
бомба!	бомба! 🐱🔥
Почему	Почему
так	так
серьёзно,	серьёзно,
друзья?	друзья?
#КотикиРулют	#КотикиРулют
#НеАгритесь	#НеАгритесь

Когда	Когда
кто-то	кто-то
посягает	посягает
на	на
мои	мои
тараканы	тараканы
в	в
голове,	голове.
я	Я
просто	просто
агрюсь	агрюсь
на	на
всю	всю
вселенную!	вселенную! 🤬✨
#Зачем	#Зачем
#Агришься	#Агришься
#ТараканыЗатмения	#ТараканыЗатмения

Вот	Вот
это	это
поворот!	поворот! 😱
Сегодня	Сегодня
так	так
агрилось	агрилось
всё	всё
вокруг,	вокруг, 
что	что
даже	даже
мой	мой
кофе	кофе
решил	решил
выдать	выдать
протест!	протест! 😂☕️
#агриться	#агриться
#жизньприкол	#жизньприкол

Когда	Когда
кто-то	кто-то
ставит	ставит
до	до
кучи	кучи
свои	свои
стори	истории
и	и
ты	ты
начинаешь	начинаешь
агриться	злиться,
типа:	типа:
Эй,	Эй,
я	я
же	же
не	не
просил	просил
это	это
видеть!	видеть! 😂🤬
#ЖизньВТвиттере	#ЖизньВТвиттере
#НеНадоТак	#НеНадоТак

Кто-то	Кто-то
вчера	вчера
в	в
магазине	магазине
сказал,	сказал,
что	что
аддидас	Adidas
—	это
это	это
не	не
бренд,	бренд,
а	а
образ	образ
жизни!	жизни!

Заказываю	Заказываю
кроссы,	кроссовки,
чтобы	чтобы
бегать	бегать
к	к
холодильнику	холодильнику
быстрее!	быстрее!

#аддидас	#Adidas
#жизньнаполнойскорости	#жизньнаполнойскорости

Когда	Когда
одела	одела
свои	свои
новые	новые
аддидасы	«Адидас»,
почувствовала	почувствовала
себя	себя
королевой	королевой
улицы!	улицы! 👟✨
Кто	Кто
ещё	ещё
считает,	считает,
что	что
кроссы	кроссовки
могут	могут
менять	менять
судьбу?	судьбу?
#Аддидас	#Аддидас
#КроссовочныйКульт	#КроссовочныйКульт

Когда	Когда
вижу	вижу
людей	людей
в	в
аддидасах	Adidas –
сразу	сразу
становится	становится
понятно,	понятно,
что	что
они	они
готовы	готовы
к	к
прыжкам	прыжкам
в	в
небесах	небесах!
🏅✨	🏅✨
#Мода	#Мода
#Спорт	#Спорт
#Аддидас	#Adidas
#СтильЖизни	#СтильЖизни

Когда	Когда
увидел	увидел
новую	новую
коллекцию	коллекцию
аддидас	Adidas,
сразу	сразу
понял,	понял,
что	что
надо	нужно
обновить	обновить
гардероб!	гардероб! 😍👟
#Мода	#Мода
#Стиль	#Стиль

Я	Я
ждал	ждал
всю	всю
жизнь,	жизнь,
чтобы	чтобы
надеть	надеть
свои	свои
аддидасы	Adidas
и	и
начать	начать
бегать	бегать
по	по
утрам!	утрам! 💨🥇
Но	Но
вместо	вместо
этого	этого
просто	просто
сижу	сижу
на	на
диване	диване
и	и
мечтаю	мечтаю
об	об
олимпийских	олимпийских
медалях.	медалях. 😂
#аддидас	#Adidas
#мечты	#мечты
#спорт	#спорт

Когда	Когда
увидел,	увидел,
как	как
люди	люди
в	в
adidas	Adidas
бегают	бегают
по	по
парку,	парку,
понял,	понял,
что	что
мой	мой
спорт	спорт –
это	это
только	только
идти	идти
в	в
кафе	кафе
за	за
кофе.	кофе. 😂 #adidas #фитнес #чтоэтотакаябеготка

Когда	Когда
поставил	поставил
новый	новый
аддон,	аддон,
игра	игра
стала	стала
как	как
новый	новый
ровер	Rover
в	в
мире!	мире! 🔥😱
Теперь	Теперь
выживаю	выживаю
на	на
уровне	уровне
бога,	бога;
остальным	остальным
только	только
аддоны	аддоны
снились.	снились. 😂💪
#ГеймерскаяМагия	#ГеймерскаяМагия
#ИграНаПределе	#ИграНаПределе

Парни	Парни,
вы	Вы
видели	видели
этот	этот
новый	новый
аддон	аддон
к	к
игре?	игре? 😱
Просто	Просто
взорвал	взорвал
мозг,	мозг, я
я	я
в	в
шоке!	шоке! Теперь
Теперь	Теперь
играть	играть
стало	стало
по-настоящему	по-настоящему
интересно!	интересно! 🎮🔥
Кто	Кто
уже	уже
тестил?	тестировал? 
#Геймеры	#Геймеры 
#АддонМечты	#АддонМечты

Когда	Когда
поиграл	поиграл
в	в
игру	игру
с	с
аддоном,	аддоном,
почувствовал	почувствовал
себя	себя
магистром	магистром
всех	всех
виртуальных	виртуальных
миров!	миров! 💥✨
Кто	Кто
еще	ещё
в	в
теме?	теме? 😉
#Геймер	#Геймер
#Аддоны	#Аддоны
#ЧистоПоКайфу	#ЧистоПоКайфу

Вот	Это
это	это
аддон	аддон
для	для
жизни!	жизни!
Кто	Кто
придумал	придумал
такие	такие
вещи?	вещи? 😍💻
Зависаю	Я зависаю
на	на
своих	своих
любимых	любимых
играх	играх
с	с
этими	этими
модами!	модами!
#ГеймерскаяЖизнь	#ГеймерскаяЖизнь
#АддонПауэр	#АддонПауэр

Когда	Когда
ставишь	ставишь
новый	новый
аддон	аддон
в	в
игру	игру
и	и
вдруг	вдруг
понимаешь,	понимаешь,
что	что
жизнь	жизнь
больше	больше
не	не
мила:	мила.
ты	ты
просто	просто
завис	завис
в	в
этом	этом
виртуальном	виртуальном
мире.	мире.
#ГеймерскиеПроблемы	#ГеймерскиеПроблемы
#АддонЧерезЧур	#АддонЧерезЧур
🍕💻	🍕💻

Когда	Когда
наконец-то	наконец-то
выйдет	выйдет
аддон	аддон
к	к
моей	моей
любимой	любимой
игре?!	игре?! 😩💔
Весь	Весь
мозг	мозг
на	на
плитах,	плитах,
а	а
я	я
жду,	жду,
когда	когда
меня	меня
затащит	затащит
в	в
новый	новый
контент!	контент!
#геймер	#геймер
#аддон	#аддон
#пустьбудеттак	#пустьбудеттак

Короче	Короче,
адик	адик — это
это	это
просто	просто
уровень	уровень,
когда	когда
ты	ты
просыпаешься	просыпаешься,
а	а
в	в
твоём	твоём
холодильнике	холодильнике
только	только
пустые	пустые
бутылки...	бутылки. 🍾😅
#адик	#адик
#жизнь	#жизнь
#праздник	#праздник.

Когда	Когда
друг	друг
наконец-то	наконец-то
согласился	согласился
пойти	пойти
на	на
вечеринку,	вечеринку.
я	Я
думал,	думал,
что	что
он	он
не	не
адик,	адик,
а	а
крутой	крутой
чел!	парень! 😂 #адик #вечеринка

Каждый	Каждый
раз,	раз,
когда	когда
вижу	вижу
*адиков*,	аккаунтов*,
вспоминаю,	вспоминаю,
как	как
они	они
вечно	вечно
ссорятся	ссорятся
в	в
комментариях!	комментариях! 😂
Это	Это
же	же
просто	просто
какое-то	какое-то
безумие!	безумие! 🔥
#адики	#адики
#драма	#драма
#TwitterLife	#TwitterLife

Когда	Когда
адик	адекватный человек
на	на
районе,	районе, 
это	это
не	не
просто	просто
адик,	адик, 
это	это
целый	целый
фурор!	фурор! 😂
Никаких	Никаких
проблем,	проблем, 
только	только
флекс	наслаждение 
и	и
хорошее	хорошее
настроение!	настроение! 
#адик	#адекватныйчеловек 
#жизньнаполнойкатушке	#жизньнаполненнойвесельем

Когда	Когда
снова	снова
увидела	увидела
своего	своего
адика	Адика,
поняла	поняла,
что	что
ни	ни
разу	разу
не	не
жалела!	жалела! 😂💖
#адик	#адик
#жизньОтличная	#жизньОтличная.

Каждый	Каждый
раз,	раз, 
когда	когда
вижу	вижу
адика,	Адика,
мне	мне
кажется,	кажется,
что	что
он	он
придумал	придумал
новую	новую
теорию,	теорию,
как	как
не	не
работать	работать
и	и
получать	получать
за	за
это	это
лайки!	лайки! 😂💼
#работа	#работа
#адик	#адик
#жизнь	#жизнь

Айда,	Айда,
народ!	народ! 😎
Кто	Кто
там	там
ещё	ещё
сидит	сидит
в	в
четырех	четырёх
стенах?	стенах?
Время	Время
выбираться	выбираться
и	и
зажигать!	зажигать! 💥
#айдаСвобода	#айдаСвобода
#НеТеряйВремя	#НеТеряйВремя

Айда	Айда,
друзья!	друзья! 🌟
Сегодня	Сегодня
такой	такой
день,	день,
что	что
хочется	хочется
бросить	бросить
все	всё
и	и
просто	просто
айдануть	выйти
на	на
улицу!	улицу! 🌈💨
Кто	Кто
со	со
мной?	мной?
#позитив	#позитив
#айдавмир	#айдавмир.

Айда	Айда,
друзья!	друзья! 🌟
Включаем	Включаем
режим	режим
лета,	лета,
даже	даже
если	если
за	за
окном	окном
снежок!	снежок! ❄️
Куда	Куда
поедем?	поедем? ⛱️
#айданавыходные	#айданавыходные
#летоГДЕСИ	#летоГДЕСИ
❤️	❤️

Айда, друзья, в мир безумия! 🌪️ Кто со мной? Давайте разорвем это скучное существование на части! 🤪 #айда #жизньпрекрасна #безумство

Ответ:
Айда	Айда,
друзья	друзья,
в	в
мир	мир
безумия!	безумия! 🌪️ 
Кто	Кто
со	со
мной?	мной? 
Давайте	Давайте
разорвем	разорвем 
это	это
скучное	скучное
существование	существование
на	на
части!	части! 🤪 
#айда	#айда 
#жизньпрекрасна	#жизньпрекрасна 
#безумство	#безумство.

Айда	Айда,
народ!	народ! 🥳
Кто	Кто
готов	готов
зажигать	зажигать
под	под
звуки	звуки
любимой	любимой
музыки?	музыки? 🎶💃
#АйдаЗажигать	#АйдаЗажигать
#НастроениеНа100.	#НастроениеНа100.

Айда	Айда,
народ!	народ! 🌍✨
Как	Как
же	же
круто	круто
проснуться	проснуться
и	и
понять,	понять,
что	что
сегодня	сегодня
пятница!	пятница! 😍💃
#АйдаНаВыходные	#АйдаНаВыходные
#ЖизньВкакуюСчастье	#ЖизньВкакуюСчастье.

Когда	Когда
потерял	потерял
свой	свой
айди	идентификатор
и	и
теперь	теперь
просто	просто
блуждаю	блуждаю
по	по
интернету	интернету
как	как
потерянный	потерянный
щенок.	щенок!
Пусть	Пусть
мир	мир
меня	меня
найдет!	найдет! 🐶🌍
#гдеМойАйди	#гдеМойАйди
#блуждающийТвит	#блуждающийТвит
Русский	Русский
интернет,	интернет,
ты	ты
где?	где? 🤔💔

Когда	Когда
увидел	увидел
свою	свою
старую	старую
фотографию,	фотографию,
вспомнил,	вспомнил,
как	как
у	у
меня	меня
было	было
идеальное	идеальное
айди	ID
в	в
соцсетях!	социальных сетях! 🤳💔
Жизнь,	Жизнь,
где	где
ты,	ты,
где	где
мое	мое
2010?	2010? 😂
#ностальгия	#ностальгия
#айди	#ID.

Вот	Вот,
кто-то	кто-то
попросил	попросил
меня	меня
скинуть	скинуть
свой	свой
айди,	айди,
а	а
я	я
только	только
что	что
потерял	потерял
его	его
в	в
вязании	вязании
с	с
котом!	котом! 🐱💔
Где	Где
же	же
мой	мой
айди?	айди?
Ладно,	Ладно,
ничего,	ничего,
просто	просто
напомню,	напомню,
что	что
я	я
в	в
соцсетях	социальных сетях
не	не
для	для
айдиков,	айди,
а	а
для	для
общения!	общения!
#жизнь	#жизнь
#незапланированное	#незапланированное

Когда	Когда
забыл	забыл
свой	свой
айди	идентификатор
на	на
сайте	сайте
и	и
теперь	теперь
пытаюсь	пытаюсь
вспомнить	вспомнить,
как	как
я	я
вообще	вообще
живу	живу
без	без
него.	него!
😂💔	😂💔
#ХочуВернутьАйди	#ХочуВернутьАйди
#ПотеряласьВЦифровомМире	#ПотеряласьВЦифровомМире

Когда	Когда
забыл	забыл
свое	свое
айди	идентификатор
и	и
теперь	теперь
вечно	вечно
сижу	сижу
на	на
лужайке,	лужайке.
пока	Пока
все	все
в	в
моем	моем
чате	чате
кайфуют!	кайфуют! 😂💔
#айди	#идентификатор
#фэйспалм	#фэйспалм.

Сижу	Сижу,
думаю	думаю,
как	как
же	же
без	без
айди	идентификатора
найти	найти
свою	свою
судьбу	судьбу
в этой	в этой
бескрайней	бескрайней
вселенной	вселенной
Твиттера!	Твиттера! 😂💔
Дайте	Дайте
знать	знать,
кто	кто
потерял	потерял
свой	свой
айди	идентификатор —
я	я
вас	вас
увижу!	увижу!
Все	Все
мы	мы
как будто	будто
теряемся!	теряемся!
#Айди	#Айди
#Судьба	#Судьба
#Твиттер.	#Твиттер.

Когда	Когда
ты	ты
наконец-то	наконец-то
нашёл	нашёл
свой	свой
айдишник,	идентификатор,
а	а
он	он
оказался	оказался
заблокированным 😂🔥	заблокированным 😂🔥
#Твиттердрама	#Твиттердрама
#НеВПовседневнойЖизни	#НеВПовседневнойЖизни.

Сегодня	Сегодня
наткнулся	наткнулся
на	на
старый	старый
айдишник	идентификатор
и	и
вспомнил	вспомнил,
какие	какие
тогда	тогда
были	были
времена!	времена! 🤪✨
У	У
кого	кого
еще	еще
остались	остались
такие	такие
дикие	дикие
айдишники	идентификаторы
из	из
2009	2009
года?	года?
Делитесь,	Делитесь,
будем	будем
ностальгировать	ностальгировать
вместе!	вместе!
#старыйдобрыйTwitter	#старыйдобрыйTwitter
#айдишник	#идентификатор

Когда	Когда
нашел	нашёл
свой	свой
старый	старый
айдишник	идентификатор
и	и
понял	понял,
что	что
там	там
ещё	ещё
остались	остались
блоки	блоки
с	с
мемами	мемами
2010	2010
года!	года! 😂💾
Как	Как
минимум	минимум
10	10
лет	лет
назад	назад
вёл	вёл
себя	себя
как	как
боженька!	боженька!
#ТотальноеНостальгирование	#ТотальноеНостальгирование
#Айдишник	#Идентификатор.

Кто-то	Кто-то
сегодня	сегодня
спросил	спросил
у	у
меня	меня
мой	мой
айдишник	айдишник,
а	а
я	я
такой:	такой:
а	а
у	у
тебя	тебя
есть	есть
айдишник	айдишник
для	для
общения?	общения? 😂💬
#Соцсети	#Соцсети
#Айдишник	#Айдишник

Когда	Когда
сидел	сидел
на	на
работе	работе
и	и
думал	думал,
куда	куда
делся	делся
мой	мой
айдишник	айдишник,
вспомнил	вспомнил,
что	что
поменял	поменял
биографию	биографию
в	в
Твиттере	Твиттере
и	и
забыл	забыл
сохранить!	сохранить! 😂💔
#ТвиттерЖизнь	#ТвиттерЖизнь
#АйдишникПотерян	#АйдишникПотерян

Сегодня	Сегодня
купил	купил
новый	новый
айдишник	айдишник,
и	и
теперь	теперь
у	у
меня	меня
есть	есть
VIP-доступ	VIP-доступ
к	к
мемам!	мемам! 🔥💸
Готов	Готов
взорвать	взорвать
Твиттер	Твиттер
своей	своей
креативщиной!	креативщиной!
#айдишник	#айдишник
#мемы	#мемы
