Абуз	Абуз,
ничего,	ничего,
просто	просто
напомню,	напомню,
что	что
я	я
в	в
соцсетях	социальных сетях
не	не
для	для
айдиков,	айди,
а	а
для	для
общения!	общения!
#жизнь	#жизнь
#незапланированное	#незапланированное

Когда	Когда
твой	твой
айкью	IQ
выше	выше,
чем	чем
у	у
соседа,	соседа,
но	но
он	он
все	все
равно	равно
знает,	знает,
как	как
варить	варить
вкусный	вкусный
кофе...	кофе. 🤔☕️
#парадокс	#парадокс
#умныелюди	#умные_люди.

Почему	Почему
люди	люди
думают	думают,
что	что
высокий	высокий
айкью	интеллект —
это	это
билет	билет
в	в
светлое	светлое
будущее?	будущее? 🤔
Мне	Мне
кажется,	кажется,
важно	важно
не	не
только	только
сколько	сколько
интеллектуальных	интеллектуальных
игрушек	игрушек
ты	ты
собрал,	собрал,
но	но
и	и
как	как
ты	ты
играешь	играешь
с	с
ними!	ними! 🎲💡
#Философия	#Философия
#Айкью	#Интеллект

Когда	Когда
кто-то	кто-то
начинает	начинает
спорить,	спорить,
а	а
ты	ты
уже	уже
на	на
уровень	уровень
выше	выше
с	с
твоим	твоим
айкью	IQ 💯🧠
#умныепанчи	#умныепанчи
#спорителимог	#спорителимог.

Когда	Когда
пытаешься	пытаешься
понять,	понять,
что	что
такое	такое
айпи,	IP,
и	и
осознаешь,	осознаешь,
что	что
это	это
не	не
просто	просто
набор	набор
цифр,	цифр,
а	а
целый	целый
мир!	мир! 🌍🔍
А	А
вы	вы
знали,	знали,
что	что
без	без
айпи	IP
мы	мы
бы	бы
все	все
заблудились	заблудились
в	в
интернете?	интернете? 🤯
#айпи	#айпи
#интернетмагия	#интернетмагия

Зачем	Зачем
мне	мне
айпишник	айпишник,
если	если
я	я
все	всё
равно	равно
везде	везде
под	под
прицелом?	прицелом! 🤖💻 #Технологии #Безопасность

Бро	Привет,
только	только
что	что
нашел	нашёл
такой	такой
крутой	крутой
айтем	предмет
в	в
игре!	игре! 😱💥
Теперь	Теперь
точно	точно
не	не
проиграю	проиграю
ни	ни
одной	одной
битвы!	битвы!
#геймер	#геймер
#айтем	#предмет

Люди	Люди,
вы	вы
видели	видели
новый	новый
айтем	предмет
в	в
моем	моем
любимом	любимом
гейме?!	игре?!
🤯	🤯
Это	Это
просто	просто
взрыв	взрыв
мозга!	мозга!
💥	💥
Я	Я
уже	уже
закачал,	закачал. Теперь
теперь	теперь
ловлю	ловлю
квесты	квесты
как	как
непорядочный!	непорядочно! 
#Геймеры	#Геймеры 
#НовыйАйтом	#НовыйПредмет.

Когда	Когда
твой	твой
айпишник	айпишник
в	в
домике,	домике,
а	а
ты	ты
всё	всё
еще	ещё
не	не
понимаешь,	понимаешь,
почему	почему
вайфай	вайфай
летает	летает
низко!	низко! 😂💥
#Айпишник	#Айпишник
#ВайфайФейлы	#ВайфайФейлы.

Когда	Когда
твой	твой
друг	друг
стал	стал
амбассадором	амбассадором
крутого	крутого
бренда,	бренда,
а	а
ты	ты
всё	всё
еще	ещё
амбассадор	амбассадор
своей	своей
постели.	постели.
😂	😂
#КтоЯТакой	#КтоЯТакой
#СоннаяЖизнь	#СоннаяЖизнь

Кто-то	Кто-то
скажет,	скажет,
что	что
аккаунт	аккаунт —
это	это
просто	просто
набор	набор
буковок	букв и
и	цифр,
цифр,	но
но	для
для	меня
меня	это
это	вся
вся	моя
моя	жизнь!
жизнь!	😜💕
#УпоротыйТвит	#УпоротыйТвит
#ЖизньВИнтернете	#ЖизньВИнтернете.

Каждый	Каждый
раз,	раз, 
когда	когда
вижу	вижу
человека	человека
с	с 
айфоном,	айфоном, 
вспоминаю,	вспоминаю, 
что	что
мы	мы
все,	все, 
возможно,	возможно, 
живем	живем
в	в 
симуляции	симуляции. 
😂📱	😂📱 
#айфон	#айфон 
#жизньвмиреайфонов	#жизнь_в_мире_айфонов.

Кто-то	Кто-то
называет	называет
меня	меня
амбассадором	амбассадором
позитива,	позитива,
а	а
я	я
просто	просто
стараюсь	стараюсь
вдохновлять	вдохновлять
мир	мир
вокруг!	вокруг!
Давайте	Давайте
менять	менять
реальность	реальность
вместе,	вместе,
ребята!	ребята!
#AmbassadorOfGoodVibes	#AmbassadorOfGoodVibes
#PositiveEnergy	#PositiveEnergy
✨✨	✨✨

Создал	Создал
новый	новый
аккаунт,	аккаунт,
чтобы	чтобы
делиться	делиться
своими	своими
ненормальными	ненормальными
мыслями!	мыслями! 🎉😜
Надеюсь,	Надеюсь,
не	не
забуду	забуду
пароль,	пароль,
как	как
обычно!	обычно! 😂
#новыйаккаунт	#новыйаккаунт
#приключения	#приключения

💥	💥
Зачем	Зачем
нужны	нужны
амбассадоры,	амбассадоры,
если	если
каждый	каждый
из	из
нас	нас
может	может
быть	быть
своим	своим
собственным	собственным
амбассадором?	амбассадором?

АААА	АААА,
только	только
что	что
закончил	закончил
смотреть	смотреть
новое	новое
аниме!!!	аниме! 😱😱
Это	Это
просто	просто
🔥🔥🔥!	🔥🔥🔥!
Каждый	Каждый
миг	миг
-	-
как	как
взрыв	взрыв
в	в
мозгу!	мозгу!
Кто	Кто
тоже	тоже
сидел	сидел
до	до
поздна	поздно
и	и
не	не
мог	мог
оторваться?	оторваться?
#аниме	#аниме
#вашаправда	#вашаправда

Когда	Когда
у	у
тебя	тебя
наконец-то	наконец-то
появился	появился
новый	новый
андроид	андроид,
но	но
он	он
оказывается	оказывается
тупее	тупее,
чем	чем
твой	твой
прошлый	прошлый
айфон	айфон.
😅📱 #Технология #ЖизньСанароида	😅📱 #Технология #ЖизньСанароида

Сегодня	Сегодня
утром	утром
такая	такая
дикая	дикая
амёба	амёба
ловко	ловко
пролезла	пролезла
в	в
мой	мой
мозг	мозг
и	и
решила	решила
устроить	устроить
вечеринку!	вечеринку! 🧠💃💥
Кто-нибудь	Кто-нибудь
знает	знает,
как	как
ее	её
выгнать	выгнать
или	или
хотя бы	хотя бы
позвать	позвать
на	на
бухло?	бухло? 😂
#амёба	#амёба
#вируснаявечеринка	#вируснаявечеринка

Анимешники	Анимешники,
когда	когда
заходят	заходят
в	в
любой	любой
чат:	чат:
Привет	Привет,
я	я
тут,	тут, 
кто	кто
против,	против,
тот	тот
не	не
понимает	понимает
истинного	истинного
кайфа	кайфа
аниме!	аниме! 🌸🙌
#аниме	#аниме
#покажитеПонять	#покажитеПонять.

Когда	Когда
твой	твой
андроид	андроид
начинает	начинает
вести	вести
себя	себя
как	как
настоящая	настоящая
личность...	личность... 🤖💔
#ТехнологииНаверное	#ТехнологииНаверное
#СамаЛучшаяНяня	#СамаЛучшаяНяня

Когда	Когда
кто-то	кто-то
из	из
друзей	друзей
называет	называет
меня	меня
анимешником	анимешником,
я	я
отвечаю:	отвечаю:
ДА,	Да,
Я	я
ЖИВУ	живу
В	в
АНIME	аниме
МИРЕ!!!	мире!
😂✨	😂✨
#Аниме	#Аниме
#АнимешникLife	#АнимешникLife

Анон	Анонс
на	на
аном	анон
накладывается,	накладывается. 
скоро	Скоро 
будем	будем 
анонсировать	анонсировать 
анонсы	анонсы 
анонсированных	анонсированных 
анонсов!	анонсов! 😂📢 #анон #что_за_анон

Анонсы	Анонсы
опять	опять
выпали	выпали
из	из
моей	моей
жизни,	жизни,
как	как
будто	будто
кто-то	кто-то
забыл	забыл
их	их
отправить!	отправить! 📅😩
Где	Где
же	же
эти	эти
крутые	крутые
события?	события?
#анон	#анон
#жду	#жду
#упущенныешансы	#упущенныешансы

Сегодня	Сегодня
в	в
анонимный	анонимный
чат	чат
зашел,	зашел,
и	и
там	там
такое	такое
началось!	началось! 😂
Люди	Люди
не	не
стесняются,	стесняются,
пишут,	пишут,
кто	кто
как	как
к	к
шампуню	шампуню
относится,	относится,
а	а
я	я
просто	просто
сижу,	сижу,
жду,	жду,
пока	пока
кто-то	кто-то
вспомнит,	вспомнит,
что	что
это	это
не	не
психологическая	психологическая
поддержка,	поддержка,
а	а
просто	просто
вечер	вечер
пятницы!	пятницы! 🤪
#анонимный	#анонимный
#чаты	#чаты
#какжить	#какжить

Анонимный?	Анонимный!
Да	Да,
это	это
просто	просто
суперсила!	суперсила! 🦸‍♀️
Жить	Жить
в	в
интернеете	интернете
и	и
не	не
оставлять	оставлять
следов —	следов — 
как	как
шедевр	шедевр
ФСБ,	Федеральной службы безопасности,
только	только
без	без
скучных	скучных
отчетов!	отчетов! 😂
#АнонимныйМститель	#АнонимныйМститель
#СекретыСети.	#СекретыСети.

Ребята	Ребята,
готовьтесь	готовьтесь,
потому	потому
что	что
наш	наш
новый	новый
проект	проект
в	в
самом	самом
разгаре!	разгаре!
АНОНС	Анонс
сотрясет	сотрясёт
всю	всю
интернет-реальность!!!	интернет-реальность! 🤯🔥
Не	Не
пропустите,	пропустите,
это	это
будет	будет
что-то	что-то
нереальное!	нереальное!
#анонс	#анонс
#괴물급	#괴물급

Когда	Когда
ты	ты
понимаешь,	понимаешь,
что	что
весь	весь
мир — это	мир — это
просто	просто
анриал,	нереально,
и	и
твои	твои
мечты	мечты
тоже!	тоже! 🌌💫
#СонНаЯву	#СонНаЯву
#НеВерюГлазам	#НеВерюГлазам

Когда	Когда
услышал,	услышал,
что	что
антиваксеры	антиваксеры
снова	снова
собираются	собираются
проводить	проводить
митинг...	митинг... 🤦‍♂️
Люди,	Люди,
реально?!	реально?!
У	У
вас	вас
IQ	уровень интеллекта
меньше,	меньше,
чем	чем
у	у
картошки!	картошки! 🥔💔
#Вакцинация	#Вакцинация
#Наука	#Наука

Когда	Когда
увидел	увидел
этот	этот
антифейс	антифейс
на	на
фотке,	фотке,
решил,	решил,
что	что
мемы	мемы
достигли	достигли
нового	нового
уровня	уровня!
😂🙈	😂🙈
Надо	Надо
срочно	срочно
делиться	делиться
с	с
друзьями,	друзьями,
чтобы	чтобы
они	они
тоже	тоже
ржали!	смеялись!
#антифейс	#антифейс
#mемы	#мемы

Забавные	Забавные
антиваксеры	антиваксеры
считают,	считают, 
что	что
чипирование	чипирование 
-	это 
это	это 
новый	новый 
тренд.	тренд! 
😂	😂 
Ребята,	Ребята, 
вы	вы 
в	в 
2021-м	2021-м 
застряли	застряли 
или	или 
как?	как? 
🤔💉	🤔💉 
#вакцинация	#вакцинация 
#антиваксер	#антиваксер

🤔💻	🤔💻
#UpgradeYourLife	#UpgradeYourLife
#ЖивиНаМаксимуме	#ЖивиНаМаксимуме

Когда	Когда
за	за
окном	окном
дождь	дождь,
а	а
у	у
меня	меня
антураж	антураж
дома	дома
в	в
полном	полном
бардаке	бардаке,
чувствую	чувствую
себя	себя
как	как
настоящий	настоящий
арт-объект!	арт-объект! 😂🎨
#жизнь	#жизнь
#антураж	#антураж
#арт	#арт

Когда	Когда
за	за
окном	окном
дождь	дождь,
а	а
в	в
сердце	сердце -
антураж	антураж
веселья!	веселья! 🌧️✨
Пушистые	Пушистые
пледы,	пледы,
книги	книги
в	в
руках	руках
и	и
горячий	горячий
шоколад	шоколад -
вот	вот
настоящий	настоящий
уют!	уют!
#антураж	#антураж
#времяпроводитьправильно	#времяпроводитьправильно.

Что	Что
за	за
бред?!	бред?!
Кто	Кто
вообще	вообще
придумал	придумал
апгрейдить	обновлять
свои	свои
старые	старые
телефоны	телефоны
вместо	вместо
того	того,
чтобы	чтобы
просто	просто
купить	купить
новый?!	новый?!
😂📱	😂📱
#Технологии	#Технологии
#СтарыйНоЗолотой	#СтарыйНоЗолотой

Когда	Когда
твой	твой
компьютер	компьютер
устарел,	устарел,
и	и
ты	ты
решил	решил
апгрейдить	обновить
его	его
до	до
последнего	последнего
писка	писка
технологий!	технологий! 💻✨
#технологии	#технологии
#апгрейдить	#обновление
#новыйсистемник	#новыйсистемник

Самое	Самое
главное	главное
в	в
жизни	жизни –
это	это
делать	делать
апдейты	обновления,
даже	даже
если	если
у	у
тебя	тебя
всего	всего
5	5
подписчиков.	подписчиков. 🤪💥 
#Жизнь	#Жизнь 
#НовыеГоризонты	#НовыеГоризонты

Когда	Когда
твой	твой
пост	пост
наконец-то	наконец-то
апнули,	апнули,
а	а
ты	ты
уже	уже
почти	почти
потерял	потерял
надежду	надежду!
😂🔥	😂🔥
#апнуть	#апнуть
#НаВерх	#НаВерх
🔝	🔝

Купил	Я купил
себе	себе
новый	новый
армор!	броню!
Теперь	Теперь
я	я
как	как
в	в
танке,	танке.
готов	готов
раздавать	раздавать
респекты	уважение
всем,	всем,
кто	кто
осмелится	осмелится
подойти!	подойти!
😂💪	😂💪
#геймер	#геймер
#антидос	#антидос
#защита	#защита.

Только	Только
что	что
получил	получил
апдейт	обновление
на	на
любимую	любимую
игру!	игру! 
Теперь	Теперь
могу	могу
летать	летать
на	на
драконах	драконах
и	и
пить	пить
кофе	кофе
с	с
ним!	ним! 
#ГеймерскаяЖизнь	#ГеймерскаяЖизнь 
#апдейтЖизни	#обновлениеЖизни

Армада	Армада
мемов	мемов
захватывает	захватывает
Твиттер!	Твиттер! 😂💥
Как	Как
выжить	выжить
среди	среди
этого	этого
хаоса?	хаоса?
#МемнаяАрмада	#МемнаяАрмада
#СпаситеМеняобпомоечнойбочке	#СпаситеМеняобпомоечнойбочке

Вот	Вот
это	это
да,	да! 
ребята!	Ребята! 
Вчера	Вчера
наконец-то	наконец-то 
купил	купил 
себе	себе 
новый	новый 
армор	броню 
на	для 
игру,	игры, 
теперь	теперь 
не убиваемый!	неукротимый! 💥💪 
Надо	Нужно 
спасать	спасать 
мир!	мир! 
#Геймер	#Геймер 
#Армор	#Броня 
#ЖизньНаМаксималках	#ЖизньНаМаксималках

Купила	Я купила
новый	новый
артбук	артбук
с	с
потрясающими	потрясающими
иллюстрациями!	иллюстрациями! 🖌️❤️
Каждый	Каждый
разворот	разворот
—	—
шедевр,	шедевр,
как	как
будто	будто
сам	сам
художник	художник
мне	мне
в	в
душу	душу
 заглянул!	заглянул!
 #арт	#арт
 #артбук	#артбук
#вдохновение	#вдохновение

Не	Не
могу	могу
поверить,	поверить, 
что	что
в	в
2023	2023
году	году
я	я
всё	всё
ещё	ещё
не	не
купил	купил
артбук	артбук
своего	своего
любимого	любимого
художника!	художника! 😱🔥
Как	Как
же	же
можно	можно
жить	жить
без	без
этого	этого
визуального	визуального
безумия?	безумия? 
#искренниечувства	#искренниечувства
#артбук	#артбук

Сегодня	Сегодня
открыла	открыла
архиватор,	архиватор,
а	а
там	там
такие	такие
файлы,	файлы,
как будто	как будто
время	время
закрылось	закрылось
в	в
2010-м!	2010-м! 😂📦
Как	Как
я	я
только	только
выжила	выжила
без	без
этих	этих
драгоценных	драгоценных
моментов?	моментов?
#Ностальгия	#Ностальгия
#АрхиваторныеПриключения	#АрхиваторныеПриключения

Кто-то	Кто-то
говорил	говорил,
что	что
артефакты	артефакты – это
это	это
только	только
в	в
играх,	играх,
но	но
я	я
нашёл	нашёл
свой	свой
в	в
холодильнике!	холодильнике! 🥴🍕
#артефакты	#артефакты
#откровения	#откровения
#гастрономическиеоткрытия	#гастрономическиеоткрытия.

#жизнь	#жизнь
#успех	#успех

Асу	Я
я	я
сегодня	сегодня
провел	провел
с	с
утра	утра
до	до
вечера!	вечера! 🥳💥
Никто	Никто
не	не
говорил,	говорил,
что	что
быть	быть
асу	асу
так	так
весело!	весело!
Когда	Когда
жизнь	жизнь
даёт	даёт
лимоны,	лимоны,
я	я
забираю	забираю
их	их
на	на
асу-соше.	асу-соше. 🍋🎉
#жизнь	#жизнь
#асу	#асу
#этокайф	#этокайф

Когда	Когда
ты	ты
просыпаешься	просыпаешься
и	и
понимаешь,	понимаешь,
что	что
из	из
тебя	тебя
получается	получается
идеальный	идеальный
асассин,	ассасин,
но	но
вместо	вместо
этого	этого
ты	ты
просто	просто
забыл	забыл
купить	купить
хлеб	хлеб
в	в
магазине	магазине
🥖💔	🥖💔
#жизнь	#жизнь
#нонстоп	#нонстоп
#ассасин	#ассасин.

Когда	Когда
ты	ты
утром	утром
собираешься	собираешься
на	на
работу,	работу,
а	а
в	в
твоих	твоих
планах	планах
только	только
атас	беда
и	и
как	как
же	же
я	я
всё	всё
это	это
ненавижу!	ненавижу! 😱💔
#жизнь	#жизнь
#ноги_в_стороны	#ноги_в_стороны

Когда	Когда
твое	твое
утро	утро
начинается	начинается
с	с
кофе,	кофе,
а	а
заканчивается	заканчивается
тотальным	тотальным
атасом!	атасом! 😂☕️
Когда	Когда
осознал,	осознал,
что	что
воскресенье	воскресенье
—	—
это	это
просто	просто
понедельник	понедельник
в	в
маске!	маске!
#атас	#атас
#жизнь	#жизнь
😱✌️	😱✌️

Асу	Асу,
как	как
же	же
я	я
люблю	люблю,
когда	когда
заваливают	заваливают
в	в
комментах	комментариях 
всякие	всякие
дикие	дикие
теории!	теории! 😂✨
Ничего	Ничего
не	не
поняла,	поняла, 
но	но
лайкну,	лайкну,
потому	потому 
что	что
асу!	Асу! 
#ТеорииЗаговора	#ТеорииЗаговора
#НепонятноеНачинаетЗавлекать	#НепонятноеНачинаетЗавлекать

Когда	Когда
ты	ты
такой	такой
аут	аут,
что	что
даже	даже
твой	твой
любимый	любимый
сериал	сериал
бросает	бросает
тебя	тебя
на	на
сезон	сезон
без	без
объяснений!	объяснений! 😅📺
#ЯЛут	#ЯЛут
#АутНаСедьмомНебе	#АутНаСедьмомНебе.

Когда	Когда
жизнь	жизнь
врет	врет
и	и
все	все
валится	валится
из	из
рук,	рук,
просто	просто
скажи	скажи
ауф	ауф
и	и
запусти	запусти
свой	свой
собственный	собственный
параллельный	параллельный
космос!	космос! 🚀✨
#ауф	#ауф
#жизнь	#жизнь
#вселенная	#вселенная
#душа	#душа

Пацаны	Пацаны,
кто	кто
еще	ещё
не	не
знает,	знает,
ааауф,	ауф.
сегодня	Сегодня
пятница!	пятница! 🎉😜
Время	Время 
зажигать,	зажигать, 
чтобы	чтобы
до	до
утра	утра
не	не
остыло!	остыло! 🔥
#ауф	#ауф
#времякрутости	#времякрутости.

Ауф	Ауф,
ребята!	ребята! 
Когда	Когда 
кажется,	кажется, 
что	что 
день	день 
не	не 
удался,	удался, 
просто	просто 
вспомните,	вспомните, 
что	что 
у	у 
вас	вас 
есть	есть 
возможность	возможность 
сделать	сделать 
его	его 
крутейшим!	крутейшим! 💪🔥 
#Ауф	#Ауф 
#ЖизньНаМаксимум	#ЖизньНаМаксимум

Ашка	Ашка,
ты	ты
когда-нибудь	когда-нибудь
задумывался	задумывался,
как	как
сложно	сложно
бывает	бывает
найти	найти
идеальную	идеальную
шаверму	шаверму
в	в
этом	этом
безумном	безумном
мире?	мире? 😂🥙 
#шаверма	#шаверма 
#ашаки	#ашаки.

😂💔 #НепонятноеПропадание #афк #ЖизньБезМеня

😂💸	😂💸
#друзья	#друзья
#бабосы	#деньги

Когда	Когда
у	у
меня	меня
есть	есть
бабки	деньги,
мир	мир
становится	становится
ярче!	ярче! 💸✨
Но	Но
когда	когда
их	их
нет —	нет, только
еда	еда
на	на
обзор	обзор 😊🥴
#финансоваяпроблема	#финансоваяпроблема
#гдеМоиБабки	#гдеМоиДеньги

Когда	Когда
видишь	видишь,
что	что
у	у
тебя	тебя
завалялись	завалялись
бабки	деньги,
но	но
до	до
конца	конца
месяца	месяца
ещё	еще
далеко!	далеко! 💸😂
#Деньги	#Деньги
#Жизнь	#Жизнь

Никогда	Никогда
не	не
понимал,	понимал,
почему	почему
говорят,	говорят,
что	что
бабосы	деньги
не	не
приносят	приносят
счастья.	счастья!
😂💸	😂💸
Мне	Мне
кажется,	кажется,
с	что
бабосами	деньгами
хотя	хотя
бы	бы
можно	можно
купить	купить
пиццу	пиццу
и	и
собрать	собрать
друзей!	друзей!
🍕✨	🍕✨
#бабосы	#деньги
#деньги	#деньги
#друзья	#друзья

Вот	Вот
это	это
баг!	баг! 🐞
Как	Как
можно	можно
было	было
застрять	застрять
в	в
этом	этом
круге?!	круге?! 🤯
Сижу,	Сижу,
жду	жду
обновления,	обновления,
а	а
оно	оно
все	все
не	не
приходит!	приходит!
#геймеры,	#геймеры,
вы	вы
не	не
одни!	одни! 🤬🖥️

Когда	Когда
бабник	бабник
на	на
первом	первом
свидании	свидании
начинает	начинает
говорить	говорить
о	о
своих	своих
долгосрочных	долгосрочных
планах	планах!
😂😂😂	😂😂😂
Лично	Лично
я	я
бы	бы
предпочла	предпочла
честного	честного
долгосрочного	долгосрочного
холостяка	холостяка!
#ИсторииСвиданий	#ИсторииСвиданий
#ПроверкаНаБабника	#ПроверкаНаБабника

Когда	Когда
читаю	читаю
новости,	новости,
всегда	всегда
чувствую	чувствую
себя	себя
на	на
базаре:	базаре:
кто-то	кто-то
кричит	кричит
про	про
политику,	политику,
кто-то	кто-то
про	про
экономику,	экономику,
а	а
я	я
просто	просто
жду,	жду,
когда	когда
выйдут	выйдут
новые	новые
котики!	котики! 😂
#НепонятноЧего	#НепонятноЧего
#Базар	#Базар

Когда	Когда
нашёл	нашёл
баг	баг
в	в
игре,	игре,
который	который
развалил	развалил
всё,	всё,
как	как
карточный	карточный
домик!	домик!
😂⚡️	😂⚡️
#ГеймерскиеПриключения	#ГеймерскиеПриключения
